time,x,y,z
1782048117.28,30.278,-95.609,-0.878
1782048117.28,30.278,-95.609,-0.878
1782048117.39,30.276,-95.612,-0.877
1782048117.49,30.263,-95.607,-0.868
1782048117.59,30.247,-95.604,-0.858
1782048117.7,30.201,-95.601,-0.853
1782048117.8,30.167,-95.601,-0.856
1782048117.9,30.124,-95.605,-0.862
1782048118.0,30.081,-95.609,-0.877
1782048118.1,30.041,-95.612,-0.905
1782048118.21,29.978,-95.599,-0.964
1782048118.31,29.951,-95.59,-1.004
1782048118.41,29.935,-95.58,-1.042
1782048118.51,29.931,-95.576,-1.076
1782048118.62,29.931,-95.576,-1.076
1782048118.72,29.954,-95.576,-1.091
1782048118.82,29.967,-95.58,-1.086
1782048118.92,29.983,-95.588,-1.081
1782048119.02,30.015,-95.596,-1.081
1782048119.13,30.06,-95.609,-1.084
1782048119.23,30.096,-95.62,-1.09
1782048119.33,30.128,-95.635,-1.095
1782048119.43,30.16,-95.647,-1.095
1782048119.54,30.184,-95.65,-1.093
1782048119.64,30.19,-95.648,-1.097
1782048119.74,30.192,-95.654,-1.106
1782048119.84,30.193,-95.661,-1.114
1782048119.94,30.191,-95.667,-1.121
1782048120.05,30.19,-95.672,-1.123
1782048120.15,30.192,-95.676,-1.121
1782048120.25,30.197,-95.68,-1.116
1782048120.36,30.207,-95.695,-1.108
1782048120.46,30.224,-95.71,-1.099
1782048120.56,30.245,-95.723,-1.095
1782048120.67,30.265,-95.744,-1.086
1782048120.77,30.288,-95.758,-1.077
1782048120.87,30.322,-95.772,-1.066
1782048120.97,30.354,-95.79,-1.059
1782048121.07,30.378,-95.809,-1.055
1782048121.18,30.405,-95.827,-1.053
1782048121.28,30.413,-95.84,-1.047
1782048121.38,30.417,-95.85,-1.036
1782048121.49,30.419,-95.861,-1.028
1782048121.59,30.421,-95.871,-1.024
1782048121.69,30.427,-95.882,-1.024
1782048121.79,30.427,-95.882,-1.025
1782048121.9,30.43,-95.88,-1.029
1782048122.0,30.43,-95.872,-1.032
1782048122.1,30.435,-95.859,-1.037
1782048122.2,30.437,-95.841,-1.046
1782048122.31,30.431,-95.812,-1.057
1782048122.41,30.427,-95.79,-1.058
1782048122.51,30.421,-95.762,-1.058
1782048122.61,30.421,-95.762,-1.058
1782048122.72,30.396,-95.719,-1.053
1782048122.82,30.381,-95.699,-1.049
1782048122.92,30.363,-95.679,-1.042
1782048123.03,30.345,-95.65,-1.035
1782048123.13,30.324,-95.621,-1.027
1782048123.23,30.311,-95.601,-1.02
1782048123.33,30.291,-95.578,-1.013
1782048123.43,30.275,-95.558,-1.008
1782048123.54,30.26,-95.542,-1.006
1782048123.64,30.25,-95.519,-1.009
1782048123.74,30.246,-95.499,-1.013
1782048123.84,30.252,-95.478,-1.018
1782048123.95,30.27,-95.45,-1.023
1782048124.05,30.286,-95.423,-1.028
1782048124.15,30.307,-95.386,-1.032
1782048124.25,30.332,-95.356,-1.035
1782048124.36,30.357,-95.327,-1.039
1782048124.46,30.375,-95.293,-1.042
1782048124.56,30.389,-95.26,-1.044
1782048124.66,30.409,-95.222,-1.049
1782048124.77,30.421,-95.193,-1.054
1782048124.87,30.426,-95.158,-1.059
1782048124.97,30.43,-95.123,-1.061
1782048125.07,30.431,-95.094,-1.064
1782048125.18,30.421,-95.055,-1.067
1782048125.28,30.414,-95.03,-1.068
1782048125.38,30.406,-95.008,-1.069
1782048125.48,30.393,-94.992,-1.067
1782048125.58,30.386,-94.979,-1.063
1782048125.69,30.377,-94.967,-1.059
1782048125.79,30.372,-94.962,-1.055
1782048125.89,30.363,-94.957,-1.048
1782048125.99,30.353,-94.949,-1.042
1782048126.09,30.343,-94.938,-1.041
1782048126.2,30.336,-94.924,-1.047
1782048126.3,30.329,-94.913,-1.05
1782048126.4,30.322,-94.903,-1.05
1782048126.5,30.322,-94.892,-1.047
1782048126.6,30.331,-94.887,-1.046
1782048126.71,30.347,-94.87,-1.044
1782048126.81,30.357,-94.859,-1.047
1782048126.91,30.364,-94.852,-1.052
1782048127.01,30.367,-94.844,-1.056
1782048127.12,30.367,-94.844,-1.056
1782048127.22,30.374,-94.796,-1.059
1782048127.32,30.385,-94.781,-1.071
1782048127.42,30.396,-94.752,-1.079
1782048127.53,30.395,-94.708,-1.081
1782048127.63,30.408,-94.66,-1.081
1782048127.73,30.424,-94.637,-1.079
1782048127.83,30.436,-94.618,-1.073
1782048127.94,30.442,-94.599,-1.057
1782048128.04,30.453,-94.576,-1.035
1782048128.14,30.458,-94.542,-1.012
1782048128.24,30.464,-94.519,-1.0
1782048128.34,30.482,-94.501,-0.997
1782048128.45,30.495,-94.477,-1.006
1782048128.55,30.505,-94.463,-1.023
1782048769.88,-19989.82,-22250.695,-0.191
1782048772.31,-20321.957,-22756.574,-0.187
