time,x,y,z
1782039012.17,20.829,-33.436,11.026
1782039012.17,20.829,-33.436,11.026
1782039012.27,20.831,-33.44,11.027
1782039012.38,20.826,-33.442,11.028
1782039012.48,20.819,-33.442,11.026
1782039012.58,20.807,-33.443,11.017
1782039012.68,20.8,-33.439,11.0
1782039012.78,20.795,-33.426,10.977
1782039012.89,20.79,-33.41,10.952
1782039012.99,20.784,-33.394,10.929
1782039013.09,20.78,-33.38,10.908
1782039013.19,20.776,-33.367,10.89
1782039013.29,20.777,-33.356,10.875
1782039013.4,20.781,-33.346,10.864
1782039013.5,20.785,-33.34,10.857
1782039013.6,20.791,-33.337,10.852
1782039013.71,20.796,-33.338,10.849
1782039013.81,20.801,-33.335,10.848
1782039013.91,20.808,-33.334,10.85
1782039014.02,20.808,-33.333,10.855
1782039014.12,20.811,-33.329,10.862
1782039014.22,20.816,-33.325,10.868
1782039014.32,20.825,-33.328,10.873
1782039014.43,20.831,-33.335,10.876
1782039014.53,20.835,-33.344,10.878
1782039014.63,20.839,-33.35,10.881
1782039014.73,20.837,-33.354,10.883
1782039014.83,20.837,-33.359,10.885
1782039014.94,20.837,-33.361,10.886
1782039015.04,20.837,-33.361,10.887
1782039015.14,20.834,-33.366,10.888
1782039015.25,20.831,-33.371,10.889
1782039015.35,20.829,-33.375,10.89
1782039015.46,20.822,-33.378,10.887
1782039015.56,20.814,-33.38,10.887
1782039015.66,20.807,-33.38,10.887
1782039015.76,20.797,-33.376,10.888
1782039015.86,20.781,-33.371,10.888
1782039015.97,20.763,-33.368,10.888
1782039016.07,20.738,-33.361,10.887
1782039016.17,20.72,-33.35,10.885
1782039016.28,20.703,-33.341,10.883
1782039016.38,20.691,-33.335,10.882
1782039016.49,20.68,-33.327,10.881
1782039016.59,20.674,-33.32,10.88
1782039016.69,20.67,-33.317,10.88
1782039016.79,20.669,-33.315,10.88
1782039016.9,20.669,-33.318,10.88
1782039017.0,20.671,-33.321,10.881
1782039017.1,20.678,-33.325,10.881
1782039017.2,20.687,-33.33,10.882
1782039017.3,20.697,-33.34,10.885
1782039017.41,20.709,-33.35,10.888
1782039017.51,20.718,-33.357,10.89
1782039017.61,20.725,-33.371,10.888
1782039017.71,20.729,-33.383,10.887
1782039017.81,20.732,-33.396,10.886
1782039017.92,20.737,-33.404,10.886
1782039018.02,20.745,-33.404,10.888
1782039018.12,20.758,-33.405,10.889
1782039018.22,20.773,-33.402,10.891
1782039018.33,20.792,-33.394,10.893
1782039018.43,20.815,-33.383,10.896
1782039018.53,20.835,-33.372,10.899
1782039018.64,20.85,-33.359,10.903
1782039018.74,20.866,-33.344,10.906
1782039018.84,20.882,-33.326,10.909
1782039018.94,20.901,-33.301,10.909
1782039019.05,20.919,-33.274,10.909
1782039019.15,20.932,-33.248,10.91
1782039019.25,20.939,-33.218,10.912
1782039019.35,20.947,-33.183,10.916
1782039019.46,20.948,-33.166,10.919
1782039019.56,20.95,-33.148,10.921
1782039019.66,20.95,-33.131,10.921
1782039019.76,20.949,-33.106,10.92
1782039019.87,20.947,-33.089,10.917
1782039019.97,20.95,-33.072,10.915
1782039020.07,20.956,-33.057,10.914
1782039020.17,20.964,-33.041,10.912
1782039020.28,20.972,-33.024,10.91
1782039020.38,20.98,-33.003,10.909
1782039020.48,20.989,-32.982,10.908
1782039020.59,20.994,-32.963,10.908
1782039020.69,20.994,-32.946,10.908
1782039020.79,20.993,-32.927,10.908
1782039020.89,20.995,-32.908,10.908
1782039021.0,20.991,-32.888,10.907
1782039021.1,20.986,-32.863,10.906
1782039021.2,20.98,-32.836,10.906
1782039021.3,20.974,-32.809,10.908
1782039021.41,20.971,-32.786,10.911
1782039021.51,20.973,-32.759,10.914
1782039021.61,20.973,-32.732,10.915
1782039021.71,20.974,-32.705,10.916
1782039021.81,20.975,-32.681,10.918
1782039021.92,20.978,-32.66,10.919
1782039022.02,20.979,-32.64,10.919
1782039022.12,20.977,-32.619,10.92
1782039022.22,20.976,-32.594,10.92
1782039022.33,20.975,-32.567,10.919
1782039022.43,20.975,-32.542,10.917
1782039022.54,20.972,-32.515,10.915
1782039022.64,20.965,-32.484,10.912
1782039022.74,20.961,-32.455,10.911
1782039022.84,20.955,-32.425,10.91
1782039022.95,20.948,-32.401,10.911
1782039023.05,20.933,-32.372,10.913
1782039023.15,20.925,-32.347,10.914
1782039023.25,20.92,-32.296,10.916
1782039023.35,20.916,-32.272,10.915
1782039023.46,20.914,-32.246,10.912
1782039023.56,20.921,-32.222,10.908
1782039023.66,20.929,-32.203,10.904
1782039023.76,20.94,-32.184,10.898
1782039023.87,20.953,-32.163,10.893
1782039023.97,20.966,-32.144,10.888
1782039024.07,20.977,-32.126,10.883
1782039024.17,20.992,-32.109,10.881
1782039024.18,20.992,-32.109,10.881
1782039024.28,21.009,-32.09,10.88
1782039024.38,21.02,-32.074,10.883
1782039024.49,21.027,-32.061,10.886
1782039024.59,21.029,-32.048,10.889
1782039024.69,21.027,-32.035,10.891
1782039024.79,21.026,-32.021,10.891
1782039024.9,21.023,-32.007,10.891
1782039025.0,21.02,-31.989,10.892
1782039025.1,21.023,-31.97,10.893
1782039025.2,21.027,-31.958,10.894
1782039025.3,21.032,-31.948,10.895
1782039025.41,21.039,-31.936,10.894
1782039025.51,21.047,-31.926,10.894
1782039025.61,21.056,-31.918,10.895
1782039025.71,21.066,-31.914,10.896
1782039025.82,21.073,-31.913,10.896
1782039025.92,21.077,-31.912,10.896
1782039026.02,21.081,-31.914,10.895
1782039026.12,21.08,-31.919,10.896
1782039026.23,21.08,-31.923,10.898
1782039026.33,21.077,-31.924,10.899
1782039026.43,21.077,-31.926,10.9
1782039026.54,21.08,-31.93,10.9
1782039026.64,21.09,-31.935,10.899
1782039026.74,21.108,-31.943,10.899
1782039026.84,21.129,-31.95,10.899
1782039026.95,21.151,-31.956,10.898
1782039027.05,21.172,-31.96,10.898
1782039027.15,21.199,-31.962,10.899
1782039027.25,21.23,-31.967,10.899
1782039027.36,21.283,-31.974,10.9
1782039027.46,21.307,-31.98,10.901
1782039027.56,21.324,-31.985,10.901
1782039027.67,21.342,-31.99,10.899
1782039027.77,21.35,-31.998,10.899
1782039027.87,21.348,-32.003,10.9
1782039027.97,21.341,-32.006,10.903
1782039028.07,21.33,-32.004,10.907
1782039028.18,21.311,-31.999,10.91
1782039028.28,21.29,-31.992,10.912
1782039028.38,21.266,-31.983,10.913
1782039028.48,21.239,-31.974,10.912
1782039028.59,21.219,-31.971,10.909
1782039028.69,21.203,-31.972,10.907
1782039028.79,21.186,-31.972,10.903
1782039028.89,21.167,-31.97,10.9
1782039029.0,21.152,-31.967,10.898
1782039029.1,21.142,-31.968,10.896
1782039029.2,21.135,-31.968,10.894
1782039029.3,21.128,-31.967,10.892
1782039029.41,21.117,-31.963,10.894
1782039029.51,21.102,-31.965,10.896
1782039029.61,21.084,-31.965,10.896
1782039029.71,21.056,-31.961,10.895
1782039029.81,21.03,-31.95,10.895
1782039029.92,21.004,-31.937,10.896
1782039030.02,20.983,-31.92,10.897
1782039030.12,20.97,-31.905,10.898
1782039030.22,20.961,-31.888,10.898
1782039030.32,20.96,-31.866,10.898
