time,x,y,z
1782038699.71,8.985,-2.351,11.028
1782038699.71,8.985,-2.351,11.028
1782038699.81,8.973,-2.354,11.028
1782038699.92,8.943,-2.366,11.025
1782038700.02,8.923,-2.378,11.019
1782038700.12,8.908,-2.389,11.005
1782038700.22,8.892,-2.395,10.984
1782038700.33,8.877,-2.399,10.959
1782038700.43,8.869,-2.402,10.933
1782038700.53,8.863,-2.404,10.909
1782038700.63,8.865,-2.407,10.888
1782038700.74,8.867,-2.408,10.871
1782038700.84,8.87,-2.408,10.857
1782038700.94,8.873,-2.408,10.846
1782038701.04,8.881,-2.41,10.838
1782038701.15,8.887,-2.412,10.834
1782038701.25,8.892,-2.411,10.832
1782038701.35,8.897,-2.412,10.831
1782038701.46,8.897,-2.413,10.833
1782038701.56,8.899,-2.41,10.835
1782038701.66,8.9,-2.404,10.837
1782038701.76,8.9,-2.4,10.839
1782038701.87,8.902,-2.395,10.84
1782038701.97,8.906,-2.389,10.841
1782038702.07,8.912,-2.381,10.843
1782038702.17,8.919,-2.377,10.845
1782038702.28,8.928,-2.375,10.846
1782038702.38,8.938,-2.371,10.844
1782038702.48,8.951,-2.367,10.844
1782038702.58,8.965,-2.364,10.844
1782038702.69,8.977,-2.364,10.845
1782038702.79,8.995,-2.365,10.845
1782038702.89,9.014,-2.362,10.847
1782038702.99,9.029,-2.356,10.85
1782038703.1,9.043,-2.356,10.853
1782038703.2,9.068,-2.354,10.857
1782038703.3,9.087,-2.353,10.862
1782038703.4,9.11,-2.354,10.867
1782038703.51,9.123,-2.348,10.873
1782038703.61,9.138,-2.341,10.877
1782038703.71,9.146,-2.333,10.879
1782038703.81,9.15,-2.323,10.883
1782038703.92,9.153,-2.319,10.885
1782038704.02,9.152,-2.313,10.887
1782038704.12,9.15,-2.305,10.888
1782038704.22,9.151,-2.299,10.889
1782038704.33,9.147,-2.293,10.887
1782038704.43,9.144,-2.289,10.886
1782038704.53,9.136,-2.287,10.885
1782038704.63,9.128,-2.287,10.886
1782038704.74,9.118,-2.284,10.887
1782038704.84,9.103,-2.281,10.888
1782038704.94,9.08,-2.271,10.889
1782038705.04,9.063,-2.262,10.889
1782038705.14,9.033,-2.254,10.886
1782038705.25,9.007,-2.249,10.883
1782038705.35,8.985,-2.242,10.883
1782038705.45,8.965,-2.232,10.882
1782038705.55,8.947,-2.223,10.88
1782038705.66,8.936,-2.217,10.878
1782038705.77,8.93,-2.21,10.877
1782038705.87,8.928,-2.206,10.877
1782038705.98,8.927,-2.201,10.877
1782038706.08,8.926,-2.201,10.876
1782038706.19,8.923,-2.199,10.875
1782038706.29,8.922,-2.199,10.874
1782038706.4,8.923,-2.197,10.875
1782038706.5,8.926,-2.192,10.877
1782038706.61,8.934,-2.189,10.881
1782038706.72,8.961,-2.172,10.892
1782038706.82,8.982,-2.159,10.897
1782038706.92,9.001,-2.142,10.902
1782038707.03,9.024,-2.12,10.907
1782038707.13,9.052,-2.101,10.911
1782038707.24,9.085,-2.078,10.913
1782038707.34,9.114,-2.061,10.913
1782038707.44,9.149,-2.045,10.912
1782038707.55,9.181,-2.027,10.91
1782038707.66,9.214,-2.01,10.908
1782038707.76,9.241,-1.987,10.906
1782038707.86,9.259,-1.962,10.903
1782038707.97,9.265,-1.939,10.901
1782038708.08,9.266,-1.919,10.899
1782038708.19,9.261,-1.896,10.896
1782038708.29,9.248,-1.874,10.893
1782038708.4,9.229,-1.853,10.89
1782038708.5,9.214,-1.834,10.888
1782038708.6,9.2,-1.807,10.887
1782038708.71,9.19,-1.784,10.886
1782038708.81,9.187,-1.751,10.885
1782038708.91,9.187,-1.725,10.886
1782038709.01,9.195,-1.7,10.889
1782038709.11,9.226,-1.651,10.898
1782038709.22,9.251,-1.625,10.902
1782038709.33,9.276,-1.599,10.904
1782038709.44,9.307,-1.572,10.904
1782038709.44,9.307,-1.572,10.904
1782038709.54,9.336,-1.542,10.902
1782038709.65,9.363,-1.517,10.901
1782038709.75,9.398,-1.49,10.9
1782038709.86,9.418,-1.47,10.899
1782038709.96,9.428,-1.451,10.898
1782038710.07,9.435,-1.437,10.896
1782038710.17,9.439,-1.426,10.893
1782038710.27,9.429,-1.416,10.891
1782038710.38,9.417,-1.411,10.889
1782038710.48,9.404,-1.4,10.888
1782038710.58,9.391,-1.389,10.887
1782038710.69,9.378,-1.379,10.886
1782038710.79,9.361,-1.371,10.884
1782038710.89,9.345,-1.364,10.883
1782038710.99,9.333,-1.355,10.884
1782038711.1,9.319,-1.349,10.887
1782038711.21,9.304,-1.346,10.892
1782038711.32,9.287,-1.336,10.9
1782038711.43,9.279,-1.333,10.902
1782038711.53,9.27,-1.334,10.903
1782038711.64,9.255,-1.338,10.902
1782038711.74,9.236,-1.341,10.9
1782038711.84,9.212,-1.349,10.899
1782038711.95,9.189,-1.359,10.897
1782038712.05,9.165,-1.362,10.895
1782038712.16,9.144,-1.361,10.895
1782038712.26,9.129,-1.36,10.895
1782038712.37,9.119,-1.365,10.893
1782038712.47,9.116,-1.373,10.889
1782038712.58,9.125,-1.383,10.883
1782038712.68,9.134,-1.394,10.881
1782038712.79,9.142,-1.406,10.88
1782038712.89,9.143,-1.408,10.88
1782038712.99,9.134,-1.4,10.879
1782038713.09,9.129,-1.39,10.876
1782038713.2,9.122,-1.381,10.874
1782038713.3,9.112,-1.372,10.872
1782038713.41,9.102,-1.362,10.873
1782038713.51,9.096,-1.351,10.875
1782038713.62,9.076,-1.339,10.878
1782038713.73,9.068,-1.337,10.88
1782038713.83,9.064,-1.334,10.884
1782038713.94,9.061,-1.336,10.887
1782038714.04,9.062,-1.343,10.89
1782038714.14,9.065,-1.348,10.891
1782038714.25,9.07,-1.355,10.892
1782038714.35,9.08,-1.361,10.893
1782038714.45,9.094,-1.366,10.894
1782038714.55,9.112,-1.369,10.895
1782038714.66,9.129,-1.365,10.896
1782038714.76,9.152,-1.356,10.896
1782038714.86,9.182,-1.352,10.895
1782038714.96,9.214,-1.343,10.896
1782038715.07,9.246,-1.332,10.897
1782038715.17,9.272,-1.321,10.898
1782038715.27,9.301,-1.31,10.9
1782038715.37,9.33,-1.3,10.901
1782038715.48,9.355,-1.29,10.903
1782038715.58,9.38,-1.279,10.905
1782038715.69,9.403,-1.267,10.906
1782038715.79,9.421,-1.252,10.908
1782038715.89,9.436,-1.24,10.908
1782038715.99,9.451,-1.226,10.909
1782038716.09,9.462,-1.21,10.908
1782038716.2,9.471,-1.193,10.907
1782038716.3,9.478,-1.178,10.906
1782038716.4,9.486,-1.162,10.904
1782038716.5,9.493,-1.147,10.902
1782038716.61,9.5,-1.128,10.9
1782038716.71,9.504,-1.112,10.898
1782038716.81,9.507,-1.097,10.897
1782038716.91,9.508,-1.084,10.898
1782038717.02,9.508,-1.055,10.902
1782038717.12,9.505,-1.035,10.905
1782038717.22,9.5,-1.01,10.907
1782038717.32,9.493,-0.991,10.908
1782038717.43,9.487,-0.966,10.908
1782038717.53,9.482,-0.943,10.908
1782038717.63,9.478,-0.923,10.906
1782038717.74,9.476,-0.901,10.904
1782038717.84,9.476,-0.878,10.901
1782038717.94,9.475,-0.856,10.898
1782038718.04,9.476,-0.831,10.895
1782038718.15,9.477,-0.806,10.89
1782038718.25,9.476,-0.774,10.884
1782038718.35,9.478,-0.75,10.88
1782038718.45,9.479,-0.728,10.879
1782038718.55,9.48,-0.711,10.879
1782038718.66,9.483,-0.696,10.881
1782038718.76,9.485,-0.684,10.884
1782038718.86,9.488,-0.67,10.887
1782038718.96,9.489,-0.658,10.888
1782038719.07,9.495,-0.641,10.889
1782038719.17,9.505,-0.625,10.889
1782038719.17,9.505,-0.625,10.889
1782038719.27,9.515,-0.607,10.889
1782038719.38,9.524,-0.596,10.888
1782038719.48,9.533,-0.578,10.886
1782038719.58,9.54,-0.562,10.884
1782038719.68,9.546,-0.552,10.882
1782038719.79,9.546,-0.543,10.881
1782038719.89,9.542,-0.531,10.88
1782038719.99,9.53,-0.514,10.881
1782038720.09,9.52,-0.492,10.881
1782038720.2,9.503,-0.471,10.882
1782038720.3,9.479,-0.45,10.882
1782038720.4,9.449,-0.424,10.882
1782038720.5,9.421,-0.4,10.882
1782038720.6,9.407,-0.38,10.884
1782038720.71,9.392,-0.364,10.883
1782038720.81,9.382,-0.347,10.88
1782038720.91,9.377,-0.328,10.876
1782038721.02,9.371,-0.298,10.871
1782038721.12,9.369,-0.289,10.868
1782038721.22,9.371,-0.286,10.867
1782038721.32,9.377,-0.286,10.866
1782038721.43,9.389,-0.286,10.865
1782038721.53,9.403,-0.286,10.865
1782038721.63,9.422,-0.286,10.865
1782038721.74,9.444,-0.289,10.865
1782038721.84,9.461,-0.294,10.867
1782038721.94,9.476,-0.302,10.867
1782038722.04,9.486,-0.313,10.865
1782038722.15,9.494,-0.322,10.864
1782038722.25,9.504,-0.333,10.865
1782038722.35,9.512,-0.343,10.867
1782038722.46,9.517,-0.352,10.868
1782038722.56,9.519,-0.358,10.87
1782038722.66,9.521,-0.366,10.874
1782038722.76,9.526,-0.373,10.877
1782038722.87,9.529,-0.379,10.881
1782038722.97,9.526,-0.385,10.885
1782038723.07,9.52,-0.393,10.888
1782038723.18,9.51,-0.399,10.889
1782038723.28,9.499,-0.406,10.892
1782038723.38,9.493,-0.412,10.894
1782038723.48,9.485,-0.421,10.895
1782038723.58,9.481,-0.428,10.897
1782038723.69,9.477,-0.438,10.898
1782038723.79,9.481,-0.45,10.895
1782038723.89,9.483,-0.457,10.891
1782038723.99,9.484,-0.468,10.885
1782038724.1,9.485,-0.485,10.88
1782038724.2,9.487,-0.499,10.875
1782038724.3,9.501,-0.501,10.872
1782038724.41,9.512,-0.495,10.869
1782038724.51,9.519,-0.481,10.868
1782038724.61,9.52,-0.472,10.868
1782038724.72,9.52,-0.465,10.872
1782038724.82,9.52,-0.459,10.875
1782038724.92,9.516,-0.454,10.878
1782038725.02,9.512,-0.45,10.882
1782038725.12,9.507,-0.445,10.883
1782038725.23,9.501,-0.434,10.884
1782038725.33,9.495,-0.426,10.886
1782038725.43,9.486,-0.418,10.888
1782038725.54,9.475,-0.413,10.889
