time,x,y,z
1782050202.49,-0.26,1.43,-0.899
1782050202.49,-0.253,1.435,-0.9
1782050202.59,-0.248,1.439,-0.9
1782050202.7,-0.247,1.446,-0.901
1782050202.8,-0.248,1.458,-0.905
1782050202.9,-0.252,1.469,-0.914
1782050203.0,-0.263,1.477,-0.931
1782050203.11,-0.27,1.483,-0.953
1782050203.21,-0.281,1.489,-0.978
1782050203.31,-0.287,1.493,-1.005
1782050203.41,-0.297,1.494,-1.025
1782050203.51,-0.308,1.494,-1.044
1782050203.62,-0.324,1.495,-1.059
1782050203.72,-0.333,1.494,-1.07
1782050203.82,-0.347,1.493,-1.079
1782050203.92,-0.355,1.491,-1.084
1782050204.03,-0.361,1.484,-1.086
1782050204.13,-0.365,1.475,-1.085
1782050204.23,-0.367,1.464,-1.083
1782050204.33,-0.369,1.452,-1.08
1782050204.44,-0.37,1.442,-1.078
1782050204.54,-0.368,1.428,-1.074
1782050204.64,-0.364,1.417,-1.073
1782050204.74,-0.361,1.403,-1.072
1782050204.85,-0.361,1.391,-1.07
1782050204.95,-0.359,1.387,-1.069
1782050205.05,-0.356,1.385,-1.067
1782050205.15,-0.356,1.386,-1.066
1782050205.25,-0.356,1.386,-1.066
1782050205.36,-0.356,1.383,-1.065
1782050205.46,-0.356,1.381,-1.064
1782050205.56,-0.354,1.378,-1.064
1782050205.66,-0.345,1.38,-1.062
1782050205.77,-0.345,1.38,-1.062
1782050205.87,-0.328,1.376,-1.061
1782050205.97,-0.321,1.372,-1.063
1782050206.07,-0.313,1.369,-1.064
1782050206.17,-0.306,1.368,-1.065
1782050206.28,-0.296,1.369,-1.066
1782050206.38,-0.29,1.373,-1.066
1782050206.48,-0.284,1.376,-1.067
1782050206.58,-0.276,1.38,-1.068
1782050206.69,-0.265,1.383,-1.07
1782050206.79,-0.258,1.386,-1.072
1782050206.89,-0.255,1.385,-1.074
1782050206.99,-0.248,1.386,-1.075
1782050207.1,-0.242,1.382,-1.075
1782050207.2,-0.238,1.382,-1.075
1782050207.3,-0.236,1.381,-1.075
1782050207.4,-0.228,1.383,-1.075
1782050207.51,-0.219,1.387,-1.076
1782050207.61,-0.216,1.398,-1.076
1782050207.71,-0.211,1.412,-1.073
1782050207.81,-0.203,1.42,-1.068
1782050207.92,-0.195,1.429,-1.065
1782050208.02,-0.189,1.44,-1.063
1782050208.12,-0.18,1.446,-1.062
1782050208.22,-0.173,1.457,-1.059
1782050208.33,-0.159,1.463,-1.055
1782050208.43,-0.14,1.463,-1.052
1782050208.53,-0.123,1.46,-1.05
1782050208.63,-0.107,1.457,-1.049
1782050208.73,-0.085,1.453,-1.048
1782050208.84,-0.068,1.447,-1.046
1782050208.94,-0.056,1.438,-1.045
1782050209.04,-0.043,1.43,-1.044
1782050209.14,-0.031,1.421,-1.044
1782050209.24,-0.023,1.414,-1.044
1782050209.35,-0.014,1.403,-1.046
1782050209.45,-0.007,1.399,-1.048
1782050209.55,0.008,1.397,-1.05
1782050209.65,0.025,1.394,-1.05
1782050209.76,0.042,1.391,-1.05
1782050209.86,0.066,1.38,-1.051
1782050209.96,0.11,1.369,-1.053
1782050210.07,0.132,1.364,-1.054
1782050210.17,0.148,1.359,-1.054
1782050210.27,0.148,1.359,-1.054
1782050210.37,0.176,1.363,-1.052
1782050210.48,0.185,1.368,-1.052
1782050210.58,0.193,1.372,-1.052
1782050210.68,0.203,1.371,-1.051
1782050210.79,0.213,1.367,-1.05
1782050210.89,0.221,1.362,-1.05
1782050210.99,0.233,1.356,-1.05
1782050211.09,0.249,1.346,-1.051
1782050211.19,0.263,1.335,-1.052
1782050211.3,0.279,1.316,-1.052
1782050211.4,0.293,1.304,-1.051
1782050211.5,0.316,1.294,-1.051
1782050211.6,0.336,1.289,-1.053
1782050211.71,0.361,1.289,-1.054
1782050211.81,0.396,1.29,-1.053
