time,x,y,z
1782049245.09,-39779.914,-36907.016,-1.128
1782049245.09,-39779.914,-36907.016,-1.124
1782049245.2,-39779.914,-36907.016,-1.122
1782049245.3,-39779.914,-36907.016,-1.122
1782049245.4,-39779.93,-36907.016,-1.127
1782049245.51,-39779.934,-36907.016,-1.139
1782049245.61,-39779.934,-36907.016,-1.162
1782049245.71,-39779.934,-36907.016,-1.191
1782049245.82,-39779.934,-36907.016,-1.22
1782049245.92,-39779.934,-36907.016,-1.25
1782049246.02,-39779.945,-36907.016,-1.276
1782049246.12,-39779.949,-36907.016,-1.294
1782049246.23,-39779.973,-36907.016,-1.305
1782049246.33,-39779.973,-36907.016,-1.309
1782049246.43,-39779.973,-36907.012,-1.308
1782049246.53,-39779.973,-36907.012,-1.304
1782049246.64,-39779.977,-36907.012,-1.299
1782049246.74,-39779.992,-36907.012,-1.295
1782049246.84,-39779.992,-36907.012,-1.29
1782049246.94,-39779.992,-36907.012,-1.285
1782049247.04,-39779.992,-36907.012,-1.279
1782049247.15,-39779.992,-36907.012,-1.275
1782049247.25,-39779.992,-36907.012,-1.272
1782049247.35,-39779.992,-36907.012,-1.269
1782049247.45,-39779.992,-36907.012,-1.266
1782049247.55,-39779.992,-36907.012,-1.264
1782049247.66,-39779.992,-36907.012,-1.264
1782049247.76,-39779.992,-36907.012,-1.266
1782049247.86,-39779.992,-36907.012,-1.268
1782049247.96,-39779.992,-36907.012,-1.27
1782049248.06,-39779.992,-36907.012,-1.273
1782049248.17,-39779.992,-36907.012,-1.276
1782049248.27,-39779.992,-36907.012,-1.281
1782049248.37,-39779.992,-36907.012,-1.284
1782049248.48,-39779.992,-36907.012,-1.286
1782049248.58,-39779.992,-36907.012,-1.289
1782049248.68,-39779.992,-36907.012,-1.293
1782049248.78,-39779.992,-36907.012,-1.297
1782049248.89,-39779.992,-36907.012,-1.298
1782049248.99,-39779.992,-36907.012,-1.297
1782049249.09,-39779.992,-36907.012,-1.296
1782049249.19,-39779.992,-36907.012,-1.296
1782049249.3,-39779.992,-36907.012,-1.296
1782049249.4,-39779.992,-36907.012,-1.295
1782049249.5,-39779.992,-36907.012,-1.295
1782049249.6,-39780.0,-36907.012,-1.294
1782049249.71,-39780.004,-36907.008,-1.293
1782049249.81,-39780.004,-36907.008,-1.292
1782049249.91,-39780.004,-36907.008,-1.293
1782049250.01,-39780.004,-36907.008,-1.292
1782049250.11,-39780.004,-36907.008,-1.291
1782049250.22,-39780.004,-36907.008,-1.29
1782049250.32,-39780.004,-36907.008,-1.288
1782049250.42,-39780.004,-36907.008,-1.287
1782049250.52,-39780.004,-36907.008,-1.288
1782049250.63,-39780.004,-36907.008,-1.288
1782049250.73,-39780.004,-36907.008,-1.286
1782049250.83,-39780.004,-36907.008,-1.282
1782049250.93,-39780.004,-36907.008,-1.278
1782049251.03,-39780.004,-36907.008,-1.277
1782049251.14,-39780.004,-36907.008,-1.276
1782049251.24,-39780.004,-36907.008,-1.275
1782049251.34,-39780.004,-36906.996,-1.272
1782049251.44,-39780.004,-36906.965,-1.269
1782049251.54,-39780.004,-36906.934,-1.267
1782049251.65,-39780.004,-36906.918,-1.266
1782049251.75,-39780.004,-36906.887,-1.264
1782049251.85,-39780.004,-36906.875,-1.262
1782049251.95,-39780.004,-36906.875,-1.26
1782049252.05,-39780.004,-36906.871,-1.259
1782049252.16,-39780.004,-36906.871,-1.26
1782049252.26,-39780.004,-36906.871,-1.263
1782049252.36,-39780.004,-36906.871,-1.266
1782049252.46,-39780.004,-36906.871,-1.268
1782049252.57,-39780.004,-36906.867,-1.269
1782049252.67,-39780.004,-36906.867,-1.269
1782049252.77,-39780.004,-36906.859,-1.268
1782049252.87,-39780.004,-36906.832,-1.265
1782049252.97,-39780.004,-36906.805,-1.265
1782049253.08,-39780.004,-36906.773,-1.264
1782049253.18,-39780.004,-36906.742,-1.262
1782049253.28,-39780.004,-36906.711,-1.259
1782049253.38,-39780.004,-36906.68,-1.257
1782049253.49,-39780.004,-36906.648,-1.257
1782049253.59,-39780.004,-36906.617,-1.259
1782049253.69,-39780.02,-36906.574,-1.27
1782049253.8,-39780.035,-36906.543,-1.275
1782049253.9,-39780.035,-36906.512,-1.278
1782049254.0,-39780.035,-36906.48,-1.279
1782049254.1,-39780.035,-36906.449,-1.28
1782049254.2,-39780.035,-36906.418,-1.281
1782049254.31,-39780.035,-36906.387,-1.282
1782049254.41,-39780.035,-36906.355,-1.283
1782049254.51,-39780.035,-36906.324,-1.284
1782049254.61,-39780.035,-36906.293,-1.284
1782049254.72,-39780.035,-36906.262,-1.284
1782049254.82,-39780.035,-36906.23,-1.285
1782049254.92,-39780.035,-36906.199,-1.286
1782049255.02,-39780.035,-36906.168,-1.286
1782049255.13,-39780.035,-36906.137,-1.285
1782049255.23,-39780.035,-36906.105,-1.284
1782049255.33,-39780.035,-36906.074,-1.285
1782049255.43,-39780.035,-36906.043,-1.285
1782049255.53,-39780.035,-36906.023,-1.284
1782049255.64,-39780.023,-36906.016,-1.285
1782049255.74,-39780.023,-36906.016,-1.286
1782049255.84,-39780.023,-36906.016,-1.286
1782049255.94,-39780.035,-36906.016,-1.285
1782049256.04,-39780.059,-36905.996,-1.285
1782049256.15,-39780.09,-36905.965,-1.285
1782049256.25,-39780.121,-36905.934,-1.287
1782049256.35,-39780.152,-36905.902,-1.289
1782049256.45,-39780.184,-36905.871,-1.292
1782049256.55,-39780.215,-36905.84,-1.294
1782049256.66,-39780.246,-36905.809,-1.296
1782049256.76,-39780.258,-36905.777,-1.299
1782049256.86,-39780.27,-36905.746,-1.3
1782049256.97,-39780.281,-36905.715,-1.299
1782049257.07,-39780.281,-36905.684,-1.298
1782049257.17,-39780.285,-36905.652,-1.299
1782049257.27,-39780.285,-36905.621,-1.305
1782049257.38,-39780.297,-36905.617,-1.312
1782049257.48,-39780.301,-36905.609,-1.319
1782049257.58,-39780.301,-36905.609,-1.324
1782049257.68,-39780.301,-36905.609,-1.326
1782049257.79,-39780.277,-36905.609,-1.327
1782049257.89,-39780.254,-36905.609,-1.327
1782049257.99,-39780.223,-36905.609,-1.326
1782049258.09,-39780.191,-36905.602,-1.324
1782049258.2,-39780.129,-36905.586,-1.318
1782049258.3,-39780.098,-36905.586,-1.315
1782049258.4,-39780.082,-36905.586,-1.311
1782049258.5,-39780.074,-36905.586,-1.308
1782049258.6,-39780.07,-36905.586,-1.306
1782049258.71,-39780.066,-36905.582,-1.308
1782049258.81,-39780.055,-36905.555,-1.31
1782049258.91,-39780.055,-36905.523,-1.311
1782049259.01,-39780.051,-36905.492,-1.312
1782049259.11,-39780.051,-36905.461,-1.311
1782049259.22,-39780.051,-36905.43,-1.309
1782049259.32,-39780.059,-36905.398,-1.306
1782049259.42,-39780.09,-36905.371,-1.301
1782049259.52,-39780.121,-36905.352,-1.295
1782049259.63,-39780.152,-36905.344,-1.291
