time,x,y,z
1782047361.16,29.152,-95.341,-0.891
1782047361.17,29.152,-95.341,-0.891
1782047361.27,29.156,-95.374,-0.893
1782047361.38,29.169,-95.409,-0.895
1782047361.49,29.177,-95.437,-0.898
1782047361.6,29.179,-95.474,-0.902
1782047361.7,29.181,-95.508,-0.905
1782047361.82,29.182,-95.54,-0.911
1782047361.92,29.178,-95.561,-0.918
1782047362.03,29.177,-95.583,-0.935
1782047362.14,29.178,-95.598,-0.952
1782047362.25,29.17,-95.603,-0.967
1782047362.35,29.164,-95.594,-1.002
1782047362.45,29.154,-95.58,-1.022
1782047362.56,29.149,-95.564,-1.043
1782047362.67,29.142,-95.537,-1.058
1782047362.77,29.137,-95.511,-1.069
1782047362.87,29.125,-95.489,-1.075
1782047362.97,29.109,-95.462,-1.073
1782047363.08,29.1,-95.436,-1.066
1782047363.18,29.094,-95.417,-1.063
1782047363.28,29.084,-95.401,-1.068
1782047363.39,29.069,-95.384,-1.075
1782047363.49,29.052,-95.366,-1.077
1782047363.59,29.032,-95.347,-1.078
1782047363.7,28.997,-95.323,-1.073
1782047363.8,28.96,-95.3,-1.061
1782047363.9,28.934,-95.281,-1.051
1782047364.0,28.915,-95.27,-1.045
1782047364.11,28.896,-95.26,-1.04
1782047364.21,28.882,-95.251,-1.035
1782047364.31,28.86,-95.25,-1.033
1782047364.41,28.837,-95.256,-1.036
1782047364.51,28.816,-95.264,-1.041
1782047364.62,28.792,-95.26,-1.045
1782047364.72,28.766,-95.254,-1.051
1782047364.82,28.743,-95.248,-1.064
1782047364.92,28.711,-95.235,-1.077
1782047365.02,28.689,-95.225,-1.086
1782047365.13,28.676,-95.204,-1.092
1782047365.23,28.67,-95.179,-1.099
1782047365.33,28.68,-95.162,-1.109
1782047365.44,28.713,-95.153,-1.116
1782047365.54,28.753,-95.141,-1.116
1782047365.64,28.795,-95.137,-1.11
1782047365.74,28.836,-95.141,-1.101
1782047365.85,28.889,-95.155,-1.092
1782047365.95,28.947,-95.177,-1.084
1782047366.05,28.987,-95.196,-1.08
1782047366.16,29.031,-95.237,-1.062
1782047366.26,29.037,-95.254,-1.048
1782047366.36,29.038,-95.267,-1.04
1782047366.47,29.026,-95.275,-1.037
1782047366.57,29.017,-95.275,-1.034
1782047366.68,29.005,-95.27,-1.032
1782047366.79,29.005,-95.263,-1.032
1782047366.89,29.013,-95.248,-1.028
1782047367.0,29.026,-95.231,-1.019
1782047367.1,29.042,-95.213,-1.013
1782047367.21,29.063,-95.199,-1.013
1782047367.31,29.092,-95.179,-1.017
1782047367.43,29.127,-95.147,-1.023
1782047367.54,29.175,-95.122,-1.031
1782047367.65,29.232,-95.099,-1.034
1782047367.76,29.338,-95.063,-1.039
1782047367.86,29.38,-95.052,-1.038
1782047367.97,29.422,-95.039,-1.034
1782047368.07,29.457,-95.029,-1.029
1782047368.18,29.499,-95.025,-1.023
1782047368.29,29.554,-95.026,-1.016
1782047368.39,29.605,-95.029,-1.012
1782047368.5,29.653,-95.026,-1.01
1782047368.61,29.711,-95.031,-1.014
1782047368.71,29.749,-95.031,-1.023
1782047368.81,29.774,-95.022,-1.031
1782047368.92,29.791,-95.003,-1.033
1782047369.02,29.792,-94.966,-1.031
1782047369.13,29.776,-94.92,-1.032
1782047369.23,29.738,-94.86,-1.037
1782047369.33,29.694,-94.806,-1.043
1782047369.43,29.639,-94.755,-1.046
1782047369.53,29.588,-94.715,-1.047
1782047369.64,29.545,-94.684,-1.047
1782047369.74,29.5,-94.656,-1.051
1782047369.84,29.465,-94.636,-1.052
1782047369.95,29.438,-94.629,-1.053
1782047370.05,29.414,-94.629,-1.054
1782047370.16,29.386,-94.63,-1.054
1782047370.26,29.396,-94.623,-1.05
1782047370.36,29.421,-94.608,-1.044
1782047370.46,29.457,-94.597,-1.039
1782047370.56,29.488,-94.586,-1.042
1782047370.67,29.55,-94.57,-1.045
1782047370.77,29.619,-94.553,-1.05
1782047370.87,29.681,-94.518,-1.057
1782047370.97,29.737,-94.481,-1.061
1782047371.08,29.783,-94.439,-1.057
1782047371.18,29.816,-94.405,-1.051
1782047371.28,29.831,-94.372,-1.048
1782047371.38,29.832,-94.338,-1.046
1782047371.48,29.838,-94.313,-1.039
1782047371.59,29.84,-94.295,-1.025
1782047371.69,29.839,-94.28,-1.006
1782047371.79,29.83,-94.26,-0.986
1782047371.89,29.82,-94.242,-0.971
1782047372.0,29.815,-94.224,-0.964
1782047372.1,29.805,-94.207,-0.967
1782047372.2,29.791,-94.191,-0.977
1782047372.3,29.783,-94.177,-0.986
1782047372.41,29.784,-94.164,-1.0
1782047372.51,29.78,-94.142,-1.02
1782047372.61,29.774,-94.118,-1.042
1782047372.71,29.769,-94.097,-1.056
1782047372.82,29.769,-94.076,-1.058
1782047372.92,29.767,-94.052,-1.056
1782047373.02,29.758,-94.028,-1.056
1782047373.12,29.749,-94.011,-1.062
1782047373.23,29.74,-93.994,-1.071
1782047373.33,29.727,-93.975,-1.082
1782047373.43,29.717,-93.959,-1.085
1782047373.53,29.708,-93.938,-1.084
1782047373.63,29.697,-93.924,-1.082
1782047373.74,29.678,-93.917,-1.08
1782047373.84,29.667,-93.91,-1.074
1782047373.94,29.65,-93.904,-1.064
1782047374.04,29.644,-93.905,-1.05
1782047374.15,29.64,-93.909,-1.032
1782047374.25,29.635,-93.905,-1.016
1782047374.35,29.638,-93.89,-1.014
1782047374.45,29.628,-93.874,-1.02
1782047374.55,29.621,-93.856,-1.028
1782047374.66,29.615,-93.842,-1.035
1782047374.76,29.607,-93.83,-1.037
1782047374.86,29.598,-93.813,-1.037
1782047374.96,29.597,-93.789,-1.037
1782047375.06,29.6,-93.759,-1.037
1782047375.17,29.605,-93.725,-1.04
1782047375.27,29.61,-93.695,-1.046
1782047375.37,29.616,-93.66,-1.051
1782047375.47,29.617,-93.626,-1.056
1782047375.58,29.62,-93.595,-1.06
1782047375.68,29.623,-93.561,-1.065
1782047375.78,29.627,-93.535,-1.068
