time,x,y,z
1782038484.59,9.1,-2.147,11.037
1782038484.59,9.1,-2.147,11.037
1782038484.69,9.104,-2.144,11.032
1782038484.8,9.111,-2.146,11.028
1782038484.9,9.118,-2.148,11.023
1782038485.01,9.121,-2.153,11.01
1782038485.11,9.122,-2.161,10.992
1782038485.21,9.123,-2.167,10.969
1782038485.32,9.128,-2.181,10.945
1782038485.43,9.134,-2.199,10.923
1782038485.53,9.143,-2.217,10.902
1782038485.64,9.15,-2.229,10.885
1782038485.74,9.152,-2.238,10.87
1782038485.85,9.15,-2.245,10.859
1782038485.96,9.146,-2.241,10.852
1782038486.07,9.144,-2.235,10.847
1782038486.17,9.126,-2.223,10.846
1782038486.28,9.1,-2.211,10.848
1782038486.39,9.058,-2.197,10.86
1782038486.49,9.041,-2.193,10.866
1782038486.6,9.032,-2.194,10.872
1782038486.7,9.022,-2.197,10.879
1782038486.8,9.015,-2.198,10.886
1782038486.91,9.01,-2.199,10.893
1782038487.01,9.005,-2.198,10.898
1782038487.11,9.006,-2.198,10.901
1782038487.21,9.003,-2.201,10.904
1782038487.32,9.001,-2.198,10.905
1782038487.42,8.996,-2.196,10.906
1782038487.52,8.988,-2.193,10.905
1782038487.63,8.984,-2.189,10.903
1782038487.73,8.983,-2.181,10.9
1782038487.83,8.977,-2.176,10.897
1782038487.94,8.976,-2.168,10.894
1782038488.04,8.972,-2.162,10.89
1782038488.14,8.971,-2.155,10.887
1782038488.24,8.972,-2.15,10.885
1782038488.35,8.973,-2.147,10.883
1782038488.45,8.973,-2.142,10.88
1782038488.55,8.974,-2.137,10.877
1782038488.65,8.977,-2.134,10.874
1782038488.76,8.982,-2.13,10.871
1782038488.86,8.991,-2.123,10.868
1782038488.96,8.998,-2.117,10.865
1782038489.06,9.01,-2.113,10.863
1782038489.17,9.027,-2.11,10.863
1782038489.27,9.045,-2.111,10.863
1782038489.37,9.058,-2.112,10.865
1782038489.47,9.069,-2.114,10.866
1782038489.58,9.08,-2.115,10.867
1782038489.68,9.09,-2.115,10.867
1782038489.78,9.102,-2.109,10.868
1782038489.89,9.107,-2.102,10.869
1782038489.99,9.113,-2.098,10.869
1782038490.09,9.117,-2.09,10.871
1782038490.19,9.119,-2.081,10.874
1782038490.29,9.119,-2.067,10.877
1782038490.4,9.118,-2.054,10.88
1782038490.5,9.114,-2.041,10.884
1782038490.6,9.111,-2.024,10.889
1782038490.7,9.11,-2.012,10.893
1782038490.81,9.098,-2.005,10.896
1782038490.91,9.088,-1.992,10.898
1782038491.01,9.079,-1.979,10.901
1782038491.11,9.075,-1.964,10.903
1782038491.22,9.077,-1.948,10.904
1782038491.32,9.084,-1.933,10.904
1782038491.42,9.087,-1.91,10.905
1782038491.53,9.096,-1.889,10.905
1782038491.63,9.103,-1.868,10.904
1782038491.73,9.111,-1.853,10.903
1782038491.84,9.117,-1.827,10.902
1782038491.84,9.117,-1.827,10.902
1782038491.94,9.117,-1.801,10.9
1782038492.04,9.114,-1.77,10.9
1782038492.14,9.111,-1.731,10.898
1782038492.24,9.108,-1.7,10.895
1782038492.35,9.108,-1.676,10.894
1782038492.45,9.112,-1.658,10.894
1782038492.55,9.114,-1.646,10.894
1782038492.65,9.116,-1.64,10.894
1782038492.75,9.116,-1.636,10.895
1782038492.86,9.117,-1.633,10.897
1782038492.96,9.118,-1.633,10.897
1782038493.06,9.113,-1.637,10.896
1782038493.17,9.107,-1.642,10.895
1782038493.27,9.099,-1.643,10.893
1782038493.37,9.09,-1.642,10.891
1782038493.47,9.077,-1.639,10.889
1782038493.57,9.065,-1.634,10.889
1782038493.68,9.055,-1.63,10.888
1782038493.78,9.034,-1.63,10.885
1782038493.89,9.027,-1.632,10.884
1782038493.99,9.026,-1.636,10.884
1782038494.09,9.033,-1.648,10.885
1782038494.19,9.038,-1.661,10.886
1782038494.29,9.043,-1.672,10.886
1782038494.4,9.049,-1.682,10.887
1782038494.5,9.051,-1.687,10.888
1782038494.6,9.051,-1.694,10.888
1782038494.71,9.056,-1.699,10.888
1782038494.81,9.062,-1.707,10.888
1782038494.91,9.067,-1.711,10.888
1782038495.02,9.069,-1.711,10.89
1782038495.12,9.075,-1.71,10.891
1782038495.22,9.081,-1.707,10.893
1782038495.32,9.088,-1.704,10.896
1782038495.43,9.096,-1.706,10.899
1782038495.53,9.1,-1.707,10.902
1782038495.63,9.111,-1.709,10.903
1782038495.73,9.123,-1.71,10.903
1782038495.84,9.137,-1.712,10.902
1782038495.94,9.149,-1.716,10.901
1782038496.04,9.153,-1.722,10.899
1782038496.14,9.154,-1.727,10.9
1782038496.24,9.153,-1.731,10.902
1782038496.35,9.15,-1.735,10.903
1782038496.45,9.148,-1.737,10.902
1782038496.55,9.145,-1.739,10.902
1782038496.65,9.144,-1.738,10.901
1782038496.76,9.144,-1.737,10.9
1782038496.86,9.141,-1.737,10.9
1782038496.96,9.139,-1.741,10.896
1782038497.06,9.136,-1.741,10.889
1782038497.17,9.133,-1.739,10.883
1782038497.27,9.131,-1.739,10.877
1782038497.38,9.129,-1.729,10.865
1782038497.49,9.133,-1.718,10.864
1782038497.59,9.138,-1.699,10.864
1782038497.69,9.138,-1.682,10.864
1782038497.8,9.137,-1.656,10.865
1782038497.91,9.137,-1.624,10.866
1782038498.01,9.141,-1.594,10.867
1782038498.12,9.145,-1.568,10.868
1782038498.22,9.149,-1.538,10.871
1782038498.33,9.156,-1.506,10.875
1782038498.43,9.161,-1.48,10.878
1782038498.53,9.163,-1.463,10.88
1782038498.63,9.161,-1.446,10.882
1782038498.73,9.157,-1.425,10.884
1782038498.84,9.153,-1.406,10.884
1782038498.94,9.149,-1.387,10.882
1782038499.04,9.145,-1.364,10.878
1782038499.14,9.142,-1.343,10.876
1782038499.14,9.142,-1.343,10.876
